Parameter Name,NRPN Layer A,NRPN Layer B,Byte Layer A,Min Val,Max Val,Display Offset,Options,Path,Notes,
Osc 1 Frequency,0,2048,0,0,120,,,"osc, i(0), semitone",Semitones (C0 - C10),
Osc 1 Frequency Fine,1,2049,2,0,101,-50,,"osc, i(0), detune",Cents,
Osc 1 Shape,2,2050,4,,,,osc-shapes.csv,"osc, i(0), shape",,
Osc 1 Glide,3,2051,8,0,127,,,"osc, i(0), glide",,
Osc 1 Keyboard,4,2052,10,,,,"Off, On","osc, i(0), keyTrk",,
Osc 2 Frequency,5,2053,1,0,120,,,"osc, i(1), semitone",Semitones (C0 - C10),
Osc 2 Frequency Fine,6,2054,3,0,101,-50,,"osc, i(1), detune",Cents,
Osc 2 Shape,7,2055,5,,,,osc-shapes.csv,"osc, i(1), shape",,
Osc 2 Glide,8,2056,9,0,127,,,"osc, i(1), glide",,
Osc 2 Keyboard,9,2057,11,,,,"Off, On","osc, i(1), keyTrk",,
Osc Sync,10,2058,17,,,,"Off, On",sync,,
Glide Mode,11,2059,18,,,,glide-modes.csv,"glide, mode",,
Osc Slop,12,2060,21,0,127,,,slop,,
Osc 1/2 Mix,13,2061,14,0,127,,,mix,,
Noise Level,14,2062,16,0,127,,,noise,,
Filter Cutoff,15,2063,22,0,164,,,cutoff,,
Filter Resonance,16,2064,23,0,127,,,reson,,
Filter Key Amount,17,2065,24,0,127,,,"filter, keyTrk",,
Filter Audio Mod,18,2066,25,0,127,,,"filter, extAudio",,
Filter Mode,19,2067,26,,,,filter-modes.csv,"filter, fourPole",,
Filter Envelope Amount,20,2068,32,0,254,-127,,"filter, env, amt",,
Filter Velocity Amount,21,2069,35,0,127,,,"filter, env, velo",,
Filter Envelope Delay,22,2070,38,0,127,,,"filter, env, delay",,
Filter Envelope Attack,23,2071,41,0,127,,,"filter, env, attack",,
Filter Envelope Decay,24,2072,44,0,127,,,"filter, env, decay",,
Filter Envelope Sustain,25,2073,47,0,127,,,"filter, env, sustain",,
Filter Envelope Release,26,2074,50,0,127,,,"filter, env, release",,
Pan Spread,28,2076,29,0,127,,,pan,,
Program Volume,29,2077,28,0,127,,,volume,,
VCA Envelope Amount,30,2078,33,0,127,,,"amp, env, amt",,
VCA Velocity Amount,31,2079,36,0,127,,,"amp, env, velo",,
VCA Envelope Delay,32,2080,39,0,127,,,"amp, env, delay",,
VCA Envelope Attack,33,2081,42,0,127,,,"amp, env, attack",,
VCA Envelope Decay,34,2082,45,0,127,,,"amp, env, decay",,
VCA Envelope Sustain,35,2083,48,0,127,,,"amp, env, sustain",,
VCA Envelope Release,36,2084,51,0,127,,,"amp, env, release",,
LFO 1 Frequency,37,2085,53,0,150,,,"lfo, i(0), freq",,
LFO 1 Frequency Sync,37,2085,204,,,,lfo-sync-times.csv,"lfo, i(0), freq, sync",,
LFO 1 Shape,38,2086,57,,,,lfo-shapes.csv,"lfo, i(0), shape",,
LFO 1 Amount,39,2087,61,0,127,,,"lfo, i(0), amt",,
LFO 1 Destination,40,2088,65,,,,mod-destinations-1.csv,"lfo, i(0), dest",,
LFO 1 Clock Sync,41,2089,69,,,,"Off, On","lfo, i(0), clock, sync",,
LFO 2 Frequency,42,2090,54,0,150,,,"lfo, i(1), freq",,
LFO 2 Frequency Sync,42,2090,205,,,,lfo-sync-times.csv,"lfo, i(1), freq, sync",,
LFO 2 Shape,43,2091,58,,,,lfo-shapes.csv,"lfo, i(1), shape",,
LFO 2 Amount,44,2092,62,0,127,,,"lfo, i(1), amt",,
LFO 2 Destination,45,2093,66,,,,mod-destinations-1.csv,"lfo, i(1), dest",,
LFO 2 Clock Sync,46,2094,70,,,,"Off, On","lfo, i(1), clock, sync",,
LFO 3 Frequency,47,2095,55,0,150,,,"lfo, i(2), freq",,
LFO 3 Frequency Sync,47,2095,206,,,,lfo-sync-times.csv,"lfo, i(2), freq, sync",,
LFO 3 Shape,48,2096,59,,,,lfo-shapes.csv,"lfo, i(2), shape",,
LFO 3 Amount,49,2097,63,0,127,,,"lfo, i(2), amt",,
LFO 3 Destination,50,2098,67,,,,mod-destinations-1.csv,"lfo, i(2), dest",,
LFO 3 Clock Sync,51,2099,71,,,,"Off, On","lfo, i(2), clock, sync",,
LFO 4 Frequency,52,2100,56,0,150,,,"lfo, i(3), freq",,
LFO 4 Frequency Sync,52,2100,207,,,,lfo-sync-times.csv,"lfo, i(3), freq, sync",,
LFO 4 Shape,53,2101,60,,,,lfo-shapes.csv,"lfo, i(3), shape",,
LFO 4 Amount,54,2102,64,0,127,,,"lfo, i(3), amt",,
LFO 4 Destination,55,2103,68,,,,mod-destinations-1.csv,"lfo, i(3), dest",,
LFO 4 Clock Sync,56,2104,72,,,,"Off, On","lfo, i(3), clock, sync",,
Envelope 3 Destination,57,2105,30,,,,mod-destinations-1.csv,"env, i(2), dest",,
Envelope 3 Amount,58,2106,34,0,254,-127,,"env, i(2), amt",,
Envelope 3 Velocity,59,2107,37,0,127,,,"env, i(2), velo",,
Envelope 3 Delay,60,2108,40,0,127,,,"env, i(2), delay",,
Envelope 3 Attack,61,2109,43,0,127,,,"env, i(2), attack",,
Envelope 3 Decay,62,2110,46,0,127,,,"env, i(2), decay",,
Envelope 3 Sustain,63,2111,49,0,127,,,"env, i(2), sustain",,
Envelope 3 Release,64,2112,52,0,127,,,"env, i(2), release",,
Mod 1 Source,65,2113,77,,,,mod-sources.csv,"mod, i(0), src",,
Mod 1 Amount,66,2114,85,0,254,-127,,"mod, i(0), amt",,
Mod 1 Destination,67,2115,93,,,,mod-destinations-1.csv,"mod, i(0), dest",,
Mod 2 Source,68,2116,78,,,,mod-sources.csv,,,
Mod 2 Amount,69,2117,86,0,254,-127,,,,
Mod 2 Destination,70,2118,94,,,,mod-destinations-1.csv,,,
Mod 3 Source,71,2119,79,,,,mod-sources.csv,,,
Mod 3 Amount,72,2120,87,0,254,-127,,,,
Mod 3 Destination,73,2121,95,,,,mod-destinations-1.csv,,,
Mod 4 Source,74,2122,80,,,,mod-sources.csv,,,
Mod 4 Amount,75,2123,88,0,254,-127,,,,
Mod 4 Destination,76,2124,96,,,,mod-destinations-1.csv,,,
Mod 5 Source,77,2125,81,,,,mod-sources.csv,,,
Mod 5 Amount,78,2126,89,0,254,-127,,,,
Mod 5 Destination,79,2127,97,,,,mod-destinations-1.csv,,,
Mod 6 Source,80,2128,82,,,,mod-sources.csv,,,
Mod 6 Amount,81,2129,90,0,254,-127,,,,
Mod 6 Destination,82,2130,98,,,,mod-destinations-1.csv,,,
Mod 7 Source,83,2131,83,,,,mod-sources.csv,,,
Mod 7 Amount,84,2132,91,0,254,-127,,,,
Mod 7 Destination,85,2133,99,,,,mod-destinations-1.csv,,,
Mod 8 Source,86,2134,84,,,,mod-sources.csv,,,
Mod 8 Amount,87,2135,92,0,254,-127,,,,
Mod 8 Destination,88,2136,100,,,,mod-destinations-1.csv,,,
Envelope 3 Repeat,97,2145,31,,,,"Off, On",,,
VCA Level,98,2146,27,0,127,,,"amp, level",,
Osc 1 Note Reset,99,2147,12,,,,"Off, On","osc, i(0), key, sync",,
Osc 1 Shape Mod,102,2150,6,0,99,,,"osc, i(0), shape, mod",Percent,
Osc 2 Shape Mod,103,2151,7,0,99,,,"osc, i(1), shape, mod",Percent,
Osc 2 Note Reset,104,2152,13,,,,"Off, On","osc, i(1), key, sync",,
LFO 1 Key Sync,105,2153,73,,,,"Off, On","lfo, i(0), key, sync",,
LFO 2 Key Sync,106,2154,74,,,,"Off, On","lfo, i(1), key, sync",,
LFO 3 Key Sync,107,2155,75,,,,"Off, On","lfo, i(2), key, sync",,
LFO 4 Key Sync,108,2156,76,,,,"Off, On","lfo, i(3), key, sync",,
Sub Octave Level,110,2158,15,0,127,,,"sub, level",,
Glide,111,2159,19,,,,"Off, On",glide,,
Pitch Bend Range,113,2161,20,0,12,,,bend,Semitones,
Pan Mode,114,2162,209,,,,pan-modes.csv,"pan, mode",,
Mod Wheel Amount,116,2164,101,0,254,-127,,"modWheel, amt",,
Mod Wheel Destination,117,2165,102,,,,mod-destinations-1.csv,"modWheel, dest",,
Pressure Amount,118,2166,103,0,254,-127,,"pressure, amt",,
Pressure Destination,119,2167,104,,,,mod-destinations-1.csv,"pressure, dest",,
Breath Amount,120,2168,105,0,254,-127,,"breath, amt",,
Breath Destination,121,2169,106,,,,mod-destinations-1.csv,"breath, dest",,
Velocity Amount,122,2170,107,0,254,-127,,"velo, amt",,
Velocity Destination,123,2171,108,,,,mod-destinations-1.csv,"velo, dest",,
Foot Controller Amount,124,2172,109,0,254,-127,,"foot, amt",,
Foot Controller Destination,125,2173,110,,,,mod-destinations-1.csv,"foot, dest",,
FX,153,2201,116,,,,"Off, On",fx,,
FX Select,154,2202,115,,,,fx-types.csv,"fx, type",,
FX Mix,155,2203,117,0,127,,,"fx, mix",,
FX Param 1,156,2204,118,0,255,,,"fx, param, i(0)",,
FX Param 2,157,2205,119,0,127,,,"fx, param, i(1)",,
FX Clock Sync,158,2206,120,,,,"Off, On","fx, clock, sync",,
FX Sync Time,159,2207,121,,,,fx-sync-times.csv,"fx, sync, time",,
A/B Mode,163,,231,,,,ab-modes.csv,"split, layer",,
Sequencer Play,164,2212,,,,,"Off, On","seq, on",,
Unison Detune,167,2215,208,0,16,,,"unison, detune",,
Unison,168,2216,123,,,,"Off, On",unison,,
Unison Mode,169,2217,124,,,,unison-modes.csv,"unison, mode",,
Keyboard Mode,170,2218,122,,,,keyboard-modes.csv,"key, mode",,
Split Point,171,,232,0,120,,,"split, pt",Semitones (C-2 - C8),
Arpeggiator,172,2220,136,,,,"Off, On","arp, on",,
Arpeggiator Mode,173,2221,132,,,,arpeggiator-modes.csv,"arp, mode",,
Arpeggiator Range,174,2222,133,,,,arpeggiator-ranges.csv,"arp, range",,
Clock Divide,175,2223,131,,,,clock-divisions.csv,"clock, divide",,
Arpeggiator Repeats,177,2225,134,0,3,,,"arp, repeat",,
Arpeggiator Relatch,178,2226,135,,,,"Off, On","arp, latch",,
BPM Tempo,179,2227,130,30,250,,,tempo,,
Gated Sequencer Mode,182,2230,138,,,,gated-sequencer-modes.csv,"gate, seq, mode",,
Sequencer Type,183,2231,139,,,,"Gated, Poly","seq, type",,
Gated Sequencer Track 1 Destination,184,2232,111,,,,mod-destinations-1.csv,"gate, seq, i(0), dest",,
Gated Sequencer Track 2 Destination,185,2233,112,,,,mod-destinations-2.csv,"gate, seq, i(1), dest",,
Gated Sequencer Track 3 Destination,186,2234,113,,,,mod-destinations-1.csv,"gate, seq, i(2), dest",,
Gated Sequencer Track 4 Destination,187,2235,114,,,,mod-destinations-2.csv,"gate, seq, i(3), dest",,
Gated Sequencer Track 1 Step 1,192,2240,140,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 2,193,2241,141,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 3,194,2242,142,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 4,195,2243,143,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 5,196,2244,144,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 6,197,2245,145,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 7,198,2246,146,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 8,199,2247,147,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 9,200,2248,148,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 10,201,2249,149,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 11,202,2250,150,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 12,203,2251,151,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 13,204,2252,152,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 14,205,2253,153,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 15,206,2254,154,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 1 Step 16,207,2255,155,0,127,,,,"126=Reset, 127=Rest",
Gated Sequencer Track 2 Step 1,208,2256,156,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 2,209,2257,157,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 3,210,2258,158,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 4,211,2259,159,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 5,212,2260,160,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 6,213,2261,161,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 7,214,2262,162,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 8,215,2263,163,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 9,216,2264,164,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 10,217,2265,165,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 11,218,2266,166,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 12,219,2267,167,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 13,220,2268,168,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 14,221,2269,169,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 15,222,2270,170,0,126,,,,126=Reset,
Gated Sequencer Track 2 Step 16,223,2271,171,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 1,224,2272,172,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 2,225,2273,173,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 3,226,2274,174,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 4,227,2275,175,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 5,228,2276,176,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 6,229,2277,177,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 7,230,2278,178,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 8,231,2279,179,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 9,232,2280,180,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 10,233,2281,181,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 11,234,2282,182,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 12,235,2283,183,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 13,236,2284,184,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 14,237,2285,185,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 15,238,2286,186,0,126,,,,126=Reset,
Gated Sequencer Track 3 Step 16,239,2287,187,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 1,240,2288,188,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 2,241,2289,189,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 3,242,2290,190,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 4,243,2291,191,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 5,244,2292,192,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 6,245,2293,193,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 7,246,2294,194,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 8,247,2295,195,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 9,248,2296,196,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 10,249,2297,197,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 11,250,2298,198,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 12,251,2299,199,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 13,252,2300,200,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 14,253,2301,201,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 15,254,2302,202,0,126,,,,126=Reset,
Gated Sequencer Track 4 Step 16,255,2303,203,0,126,,,,126=Reset,
Sequencer Step 1 Note 1,276,2324,256,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 2 Note 1,277,2325,257,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 3 Note 1,278,2326,258,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 4 Note 1,279,2327,259,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 5 Note 1,280,2328,260,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 6 Note 1,281,2329,261,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 7 Note 1,282,2330,262,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 8 Note 1,283,2331,263,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 9 Note 1,284,2332,264,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 10 Note 1,285,2333,265,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 11 Note 1,286,2334,266,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 12 Note 1,287,2335,267,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 13 Note 1,288,2336,268,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 14 Note 1,289,2337,269,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 15 Note 1,290,2338,270,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 16 Note 1,291,2339,271,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 17 Note 1,292,2340,272,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 18 Note 1,293,2341,273,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 19 Note 1,294,2342,274,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 20 Note 1,295,2343,275,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 21 Note 1,296,2344,276,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 22 Note 1,297,2345,277,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 23 Note 1,298,2346,278,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 24 Note 1,299,2347,279,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 25 Note 1,300,2348,280,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 26 Note 1,301,2349,281,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 27 Note 1,302,2350,282,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 28 Note 1,303,2351,283,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 29 Note 1,304,2352,284,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 30 Note 1,305,2353,285,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 31 Note 1,306,2354,286,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 32 Note 1,307,2355,287,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 33 Note 1,308,2356,288,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 34 Note 1,309,2357,289,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 35 Note 1,310,2358,290,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 36 Note 1,311,2359,291,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 37 Note 1,312,2360,292,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 38 Note 1,313,2361,293,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 39 Note 1,314,2362,294,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 40 Note 1,315,2363,295,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 41 Note 1,316,2364,296,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 42 Note 1,317,2365,297,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 43 Note 1,318,2366,298,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 44 Note 1,319,2367,299,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 45 Note 1,320,2368,300,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 46 Note 1,321,2369,301,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 47 Note 1,322,2370,302,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 48 Note 1,323,2371,303,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 49 Note 1,324,2372,304,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 50 Note 1,325,2373,305,0,128,,,,"Semitones (C0 - G10), 128=Tie",
