Parameter Name,NRPN Layer A,NRPN Layer B,Byte Layer A,Min Val,Max Val,Display Offset,Options,Path,Notes,
Sequencer Step 17 Note 5,804,2852,784,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 18 Note 5,805,2853,785,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 19 Note 5,806,2854,786,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 20 Note 5,807,2855,787,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 21 Note 5,808,2856,788,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 22 Note 5,809,2857,789,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 23 Note 5,810,2858,790,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 24 Note 5,811,2859,791,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 25 Note 5,812,2860,792,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 26 Note 5,813,2861,793,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 27 Note 5,814,2862,794,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 28 Note 5,815,2863,795,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 29 Note 5,816,2864,796,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 30 Note 5,817,2865,797,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 31 Note 5,818,2866,798,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 32 Note 5,819,2867,799,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 33 Note 5,820,2868,800,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 34 Note 5,821,2869,801,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 35 Note 5,822,2870,802,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 36 Note 5,823,2871,803,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 37 Note 5,824,2872,804,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 38 Note 5,825,2873,805,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 39 Note 5,826,2874,806,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 40 Note 5,827,2875,807,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 41 Note 5,828,2876,808,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 42 Note 5,829,2877,809,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 43 Note 5,830,2878,810,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 44 Note 5,831,2879,811,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 45 Note 5,832,2880,812,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 46 Note 5,833,2881,813,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 47 Note 5,834,2882,814,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 48 Note 5,835,2883,815,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 49 Note 5,836,2884,816,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 50 Note 5,837,2885,817,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 51 Note 5,838,2886,818,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 52 Note 5,839,2887,819,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 53 Note 5,840,2888,820,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 54 Note 5,841,2889,821,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 55 Note 5,842,2890,822,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 56 Note 5,843,2891,823,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 57 Note 5,844,2892,824,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 58 Note 5,845,2893,825,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 59 Note 5,846,2894,826,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 60 Note 5,847,2895,827,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 61 Note 5,848,2896,828,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 62 Note 5,849,2897,829,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 63 Note 5,850,2898,830,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 64 Note 5,851,2899,831,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 1 Velocity 5,852,2900,832,128,255,,,,128=Rest,
Sequencer Step 2 Velocity 5,853,2901,833,128,255,,,,128=Rest,
Sequencer Step 3 Velocity 5,854,2902,834,128,255,,,,128=Rest,
Sequencer Step 4 Velocity 5,855,2903,835,128,255,,,,128=Rest,
Sequencer Step 5 Velocity 5,856,2904,836,128,255,,,,128=Rest,
Sequencer Step 6 Velocity 5,857,2905,837,128,255,,,,128=Rest,
Sequencer Step 7 Velocity 5,858,2906,838,128,255,,,,128=Rest,
Sequencer Step 8 Velocity 5,859,2907,839,128,255,,,,128=Rest,
Sequencer Step 9 Velocity 5,860,2908,840,128,255,,,,128=Rest,
Sequencer Step 10 Velocity 5,861,2909,841,128,255,,,,128=Rest,
Sequencer Step 11 Velocity 5,862,2910,842,128,255,,,,128=Rest,
Sequencer Step 12 Velocity 5,863,2911,843,128,255,,,,128=Rest,
Sequencer Step 13 Velocity 5,864,2912,844,128,255,,,,128=Rest,
Sequencer Step 14 Velocity 5,865,2913,845,128,255,,,,128=Rest,
Sequencer Step 15 Velocity 5,866,2914,846,128,255,,,,128=Rest,
Sequencer Step 16 Velocity 5,867,2915,847,128,255,,,,128=Rest,
Sequencer Step 17 Velocity 5,868,2916,848,128,255,,,,128=Rest,
Sequencer Step 18 Velocity 5,869,2917,849,128,255,,,,128=Rest,
Sequencer Step 19 Velocity 5,870,2918,850,128,255,,,,128=Rest,
Sequencer Step 20 Velocity 5,871,2919,851,128,255,,,,128=Rest,
Sequencer Step 21 Velocity 5,872,2920,852,128,255,,,,128=Rest,
Sequencer Step 22 Velocity 5,873,2921,853,128,255,,,,128=Rest,
Sequencer Step 23 Velocity 5,874,2922,854,128,255,,,,128=Rest,
Sequencer Step 24 Velocity 5,875,2923,855,128,255,,,,128=Rest,
Sequencer Step 25 Velocity 5,876,2924,856,128,255,,,,128=Rest,
Sequencer Step 26 Velocity 5,877,2925,857,128,255,,,,128=Rest,
Sequencer Step 27 Velocity 5,878,2926,858,128,255,,,,128=Rest,
Sequencer Step 28 Velocity 5,879,2927,859,128,255,,,,128=Rest,
Sequencer Step 29 Velocity 5,880,2928,860,128,255,,,,128=Rest,
Sequencer Step 30 Velocity 5,881,2929,861,128,255,,,,128=Rest,
Sequencer Step 31 Velocity 5,882,2930,862,128,255,,,,128=Rest,
Sequencer Step 32 Velocity 5,883,2931,863,128,255,,,,128=Rest,
Sequencer Step 33 Velocity 5,884,2932,864,128,255,,,,128=Rest,
Sequencer Step 34 Velocity 5,885,2933,865,128,255,,,,128=Rest,
Sequencer Step 35 Velocity 5,886,2934,866,128,255,,,,128=Rest,
Sequencer Step 36 Velocity 5,887,2935,867,128,255,,,,128=Rest,
Sequencer Step 37 Velocity 5,888,2936,868,128,255,,,,128=Rest,
Sequencer Step 38 Velocity 5,889,2937,869,128,255,,,,128=Rest,
Sequencer Step 39 Velocity 5,890,2938,870,128,255,,,,128=Rest,
Sequencer Step 40 Velocity 5,891,2939,871,128,255,,,,128=Rest,
Sequencer Step 41 Velocity 5,892,2940,872,128,255,,,,128=Rest,
Sequencer Step 42 Velocity 5,893,2941,873,128,255,,,,128=Rest,
Sequencer Step 43 Velocity 5,894,2942,874,128,255,,,,128=Rest,
Sequencer Step 44 Velocity 5,895,2943,875,128,255,,,,128=Rest,
Sequencer Step 45 Velocity 5,896,2944,876,128,255,,,,128=Rest,
Sequencer Step 46 Velocity 5,897,2945,877,128,255,,,,128=Rest,
Sequencer Step 47 Velocity 5,898,2946,878,128,255,,,,128=Rest,
Sequencer Step 48 Velocity 5,899,2947,879,128,255,,,,128=Rest,
Sequencer Step 49 Velocity 5,900,2948,880,128,255,,,,128=Rest,
Sequencer Step 50 Velocity 5,901,2949,881,128,255,,,,128=Rest,
Sequencer Step 51 Velocity 5,902,2950,882,128,255,,,,128=Rest,
Sequencer Step 52 Velocity 5,903,2951,883,128,255,,,,128=Rest,
Sequencer Step 53 Velocity 5,904,2952,884,128,255,,,,128=Rest,
Sequencer Step 54 Velocity 5,905,2953,885,128,255,,,,128=Rest,
Sequencer Step 55 Velocity 5,906,2954,886,128,255,,,,128=Rest,
Sequencer Step 56 Velocity 5,907,2955,887,128,255,,,,128=Rest,
Sequencer Step 57 Velocity 5,908,2956,888,128,255,,,,128=Rest,
Sequencer Step 58 Velocity 5,909,2957,889,128,255,,,,128=Rest,
Sequencer Step 59 Velocity 5,910,2958,890,128,255,,,,128=Rest,
Sequencer Step 60 Velocity 5,911,2959,891,128,255,,,,128=Rest,
Sequencer Step 61 Velocity 5,912,2960,892,128,255,,,,128=Rest,
Sequencer Step 62 Velocity 5,913,2961,893,128,255,,,,128=Rest,
Sequencer Step 63 Velocity 5,914,2962,894,128,255,,,,128=Rest,
Sequencer Step 64 Velocity 5,915,2963,895,128,255,,,,128=Rest,
Sequencer Step 1 Note 6,916,2964,896,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 2 Note 6,917,2965,897,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 3 Note 6,918,2966,898,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 4 Note 6,919,2967,899,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 5 Note 6,920,2968,900,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 6 Note 6,921,2969,901,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 7 Note 6,922,2970,902,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 8 Note 6,923,2971,903,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 9 Note 6,924,2972,904,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 10 Note 6,925,2973,905,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 11 Note 6,926,2974,906,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 12 Note 6,927,2975,907,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 13 Note 6,928,2976,908,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 14 Note 6,929,2977,909,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 15 Note 6,930,2978,910,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 16 Note 6,931,2979,911,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 17 Note 6,932,2980,912,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 18 Note 6,933,2981,913,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 19 Note 6,934,2982,914,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 20 Note 6,935,2983,915,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 21 Note 6,936,2984,916,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 22 Note 6,937,2985,917,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 23 Note 6,938,2986,918,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 24 Note 6,939,2987,919,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 25 Note 6,940,2988,920,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 26 Note 6,941,2989,921,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 27 Note 6,942,2990,922,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 28 Note 6,943,2991,923,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 29 Note 6,944,2992,924,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 30 Note 6,945,2993,925,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 31 Note 6,946,2994,926,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 32 Note 6,947,2995,927,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 33 Note 6,948,2996,928,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 34 Note 6,949,2997,929,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 35 Note 6,950,2998,930,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 36 Note 6,951,2999,931,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 37 Note 6,952,3000,932,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 38 Note 6,953,3001,933,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 39 Note 6,954,3002,934,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 40 Note 6,955,3003,935,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 41 Note 6,956,3004,936,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 42 Note 6,957,3005,937,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 43 Note 6,958,3006,938,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 44 Note 6,959,3007,939,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 45 Note 6,960,3008,940,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 46 Note 6,961,3009,941,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 47 Note 6,962,3010,942,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 48 Note 6,963,3011,943,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 49 Note 6,964,3012,944,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 50 Note 6,965,3013,945,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 51 Note 6,966,3014,946,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 52 Note 6,967,3015,947,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 53 Note 6,968,3016,948,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 54 Note 6,969,3017,949,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 55 Note 6,970,3018,950,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 56 Note 6,971,3019,951,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 57 Note 6,972,3020,952,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 58 Note 6,973,3021,953,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 59 Note 6,974,3022,954,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 60 Note 6,975,3023,955,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 61 Note 6,976,3024,956,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 62 Note 6,977,3025,957,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 63 Note 6,978,3026,958,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 64 Note 6,979,3027,959,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 1 Velocity 6,980,3028,960,128,255,,,,128=Rest,
Sequencer Step 2 Velocity 6,981,3029,961,128,255,,,,128=Rest,
Sequencer Step 3 Velocity 6,982,3030,962,128,255,,,,128=Rest,
Sequencer Step 4 Velocity 6,983,3031,963,128,255,,,,128=Rest,
Sequencer Step 5 Velocity 6,984,3032,964,128,255,,,,128=Rest,
Sequencer Step 6 Velocity 6,985,3033,965,128,255,,,,128=Rest,
Sequencer Step 7 Velocity 6,986,3034,966,128,255,,,,128=Rest,
Sequencer Step 8 Velocity 6,987,3035,967,128,255,,,,128=Rest,
Sequencer Step 9 Velocity 6,988,3036,968,128,255,,,,128=Rest,
Sequencer Step 10 Velocity 6,989,3037,969,128,255,,,,128=Rest,
Sequencer Step 11 Velocity 6,990,3038,970,128,255,,,,128=Rest,
Sequencer Step 12 Velocity 6,991,3039,971,128,255,,,,128=Rest,
Sequencer Step 13 Velocity 6,992,3040,972,128,255,,,,128=Rest,
Sequencer Step 14 Velocity 6,993,3041,973,128,255,,,,128=Rest,
Sequencer Step 15 Velocity 6,994,3042,974,128,255,,,,128=Rest,
Sequencer Step 16 Velocity 6,995,3043,975,128,255,,,,128=Rest,
Sequencer Step 17 Velocity 6,996,3044,976,128,255,,,,128=Rest,
Sequencer Step 18 Velocity 6,997,3045,977,128,255,,,,128=Rest,
Sequencer Step 19 Velocity 6,998,3046,978,128,255,,,,128=Rest,
Sequencer Step 20 Velocity 6,999,3047,979,128,255,,,,128=Rest,
Sequencer Step 21 Velocity 6,1000,3048,980,128,255,,,,128=Rest,
Sequencer Step 22 Velocity 6,1001,3049,981,128,255,,,,128=Rest,
Sequencer Step 23 Velocity 6,1002,3050,982,128,255,,,,128=Rest,
Sequencer Step 24 Velocity 6,1003,3051,983,128,255,,,,128=Rest,
Sequencer Step 25 Velocity 6,1004,3052,984,128,255,,,,128=Rest,
Sequencer Step 26 Velocity 6,1005,3053,985,128,255,,,,128=Rest,
Sequencer Step 27 Velocity 6,1006,3054,986,128,255,,,,128=Rest,
Sequencer Step 28 Velocity 6,1007,3055,987,128,255,,,,128=Rest,
Sequencer Step 29 Velocity 6,1008,3056,988,128,255,,,,128=Rest,
Sequencer Step 30 Velocity 6,1009,3057,989,128,255,,,,128=Rest,
Sequencer Step 31 Velocity 6,1010,3058,990,128,255,,,,128=Rest,
Sequencer Step 32 Velocity 6,1011,3059,991,128,255,,,,128=Rest,
Sequencer Step 33 Velocity 6,1012,3060,992,128,255,,,,128=Rest,
Sequencer Step 34 Velocity 6,1013,3061,993,128,255,,,,128=Rest,
Sequencer Step 35 Velocity 6,1014,3062,994,128,255,,,,128=Rest,
Sequencer Step 36 Velocity 6,1015,3063,995,128,255,,,,128=Rest,
Sequencer Step 37 Velocity 6,1016,3064,996,128,255,,,,128=Rest,
Sequencer Step 38 Velocity 6,1017,3065,997,128,255,,,,128=Rest,
Sequencer Step 39 Velocity 6,1018,3066,998,128,255,,,,128=Rest,
Sequencer Step 40 Velocity 6,1019,3067,999,128,255,,,,128=Rest,
Sequencer Step 41 Velocity 6,1020,3068,1000,128,255,,,,128=Rest,
Sequencer Step 42 Velocity 6,1021,3069,1001,128,255,,,,128=Rest,
Sequencer Step 43 Velocity 6,1022,3070,1002,128,255,,,,128=Rest,
Sequencer Step 44 Velocity 6,1023,3071,1003,128,255,,,,128=Rest,
Sequencer Step 45 Velocity 6,1024,3072,1004,128,255,,,,128=Rest,
Sequencer Step 46 Velocity 6,1025,3073,1005,128,255,,,,128=Rest,
Sequencer Step 47 Velocity 6,1026,3074,1006,128,255,,,,128=Rest,
Sequencer Step 48 Velocity 6,1027,3075,1007,128,255,,,,128=Rest,
Sequencer Step 49 Velocity 6,1028,3076,1008,128,255,,,,128=Rest,
Sequencer Step 50 Velocity 6,1029,3077,1009,128,255,,,,128=Rest,
Sequencer Step 51 Velocity 6,1030,3078,1010,128,255,,,,128=Rest,
Sequencer Step 52 Velocity 6,1031,3079,1011,128,255,,,,128=Rest,
Sequencer Step 53 Velocity 6,1032,3080,1012,128,255,,,,128=Rest,
Sequencer Step 54 Velocity 6,1033,3081,1013,128,255,,,,128=Rest,
Sequencer Step 55 Velocity 6,1034,3082,1014,128,255,,,,128=Rest,
Sequencer Step 56 Velocity 6,1035,3083,1015,128,255,,,,128=Rest,
Sequencer Step 57 Velocity 6,1036,3084,1016,128,255,,,,128=Rest,
Sequencer Step 58 Velocity 6,1037,3085,1017,128,255,,,,128=Rest,
Sequencer Step 59 Velocity 6,1038,3086,1018,128,255,,,,128=Rest,
Sequencer Step 60 Velocity 6,1039,3087,1019,128,255,,,,128=Rest,
Sequencer Step 61 Velocity 6,1040,3088,1020,128,255,,,,128=Rest,
Sequencer Step 62 Velocity 6,1041,3089,1021,128,255,,,,128=Rest,
Sequencer Step 63 Velocity 6,1042,3090,1022,128,255,,,,128=Rest,
Sequencer Step 64 Velocity 6,1043,3091,1023,128,255,,,,128=Rest,
