Parameter Name,Address,Min Val,Max Val,Display Offset,Options,Path,Notes
Patch level,10,0,64,,,level,
Key range L (Tone A),11,0,7F,,,"tone, i(0), key, lo",C1 - G9
Key range H (Tone A),12,0,7F,,,"tone, i(0), key, hi",C1 - G9
Key range L (Tone B),13,0,7F,,,"tone, i(1), key, lo",C1 - G9
Key range H (Tone B),14,0,7F,,,"tone, i(1), key, hi",C1 - G9
Key range L (Tone C),15,0,7F,,,"tone, i(2), key, lo",C1 - G9
Key range H (Tone C),16,0,7F,,,"tone, i(2), key, hi",C1 - G9
Key range L (Tone D),17,0,7F,,,"tone, i(3), key, lo",C1 - G9
Key range H (Tone D),18,0,7F,,,"tone, i(3), key, hi",C1 - G9
Bender range down,19,0,30,,,"bend, down",
Bender range up,1A,0,0C,,,"bend, up",
A-touch bend,1B,0,1A,,,"aftertouch, bend","-36, -24, -12 - 12(semi)"
Solo SW,1C,0,1,,,solo,
Solo Legato,1D,0,1,,,"solo, legato",
Portamento SW,1E,0,1,,,porta,
Portamento mode,1F,0,1,,"Normal, Legato","porta, mode",
Portamento time,20,0,64,,,"porta, time",
Layer tone,21,0,0F,,"none, A, B, AB, C, AC, BC, ABC, D, AD, BD, ABD, CD, ACD, BCD, ABCD","layer, tone",
Active tone,22,0,0F,,"none, A, B, AB, C, AC, BC, ABC, D, AD, BD, ABD, CD, ACD, BCD, ABCD","active, tone",
Low freq,23,0,1,,"200, 400Hz","lo, freq",
Low gain,24,0,1E,-15,,"lo, gain",
Mid freq,25,0,10,,"200, 250, 315, 400, 500, 630, 800, 1k, 1.25k, 1.6k, 2k, 2.5k, 3.15k, 4k, 5k, 6.3k, 8kHz","mid, freq",
Mid Q,26,0,4,,"0.5, 1.0, 2.0, 4.0, 9.0","mid, q",
Mid gain,27,0,1E,-15,,"mid, gain",
High freq,28,0,1,,"4k, 8kHz","hi, freq",
High gain,29,0,1E,-15,,"hi, gain",
Key mode,2A,0,2,,"Whole, Split, Dual","key, mode",
Split point,2B,0,55,,,"split, pt",C1 - C#8
Lower channel,2C,0,0F,1,,"channel, lo",
Upper channel,2D,0,0F,1,,"channel, hi",
Lower program change,2E,0,7F,1,,"pgmChange, lo",
Upper program change,2F,0,7F,1,,"pgmChange, hi",
Hold mode,30,0,2,,"Upper, Lower, Both",hold,
/// dummy,31,0,0,,,,